text,label,priority
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
Reported: waste accumulation needing urgent collection and disposal,Municipality,Medium
road requires repainting of lane markings,PWD,Low
park bench needs repainting and repair,Municipality,Low
illegal construction on public land,Municipality,High
Reported: open dumping of waste creating health hazard in residential area,Municipality,High
molestation incident reported by female citizen Please take action,Police/Traffic,High
food stall operating without proper hygiene license Please take action,Health Department,Medium
"road marking faded, lines need repainting",Police/Traffic,Low
road surface uneven near school area Please take action,PWD,Medium
water pipe leakage on street resulting in water waste,Water,Medium
street sign installation for park entrance Please take action,Municipality,Low
water supply stopped for more than 48 hours Please take action,Water,High
slight discoloration in drinking water,Water,Medium
sewage treatment plant overflow causing environmental damage,Municipality,High
Reported: traffic signal light needs cleaning from dust,Police/Traffic,Low
minor electrical maintenance required,Electricity,Low
unhygienic food preparation in restaurant causing health risk,Health Department,High
traffic signal malfunctioning at busy intersection causing congestion Please take action,Police/Traffic,Medium
routine park maintenance and beautification required,Municipality,Low
dangerous high voltage transformer sparking dangerously,Electricity,High
old water line needs replacement soon,Water,Low
public area beautification needed,Municipality,Low
"garbage not collected for several days, piling up",Municipality,Medium
food stall operating without proper hygiene license,Health Department,Medium
dusty light fixtures need cleaning,Electricity,Low
food stall operating without proper hygiene license,Health Department,Medium
Reported: potential fire risk due to electrical issue detected,Fire,Medium
emergency sewage overflow creating hazardous condition Please take action,Water,High
dustbin needs replacement in area Please take action,Municipality,Low
live wire hanging near the main road causing electric shock hazard,Electricity,High
fire safety training needed for staff,Fire,Low
illegal construction on public land Please take action,Municipality,High
major pothole on main road causing accidents and vehicle damage,PWD,High
dusty light fixtures need cleaning Please take action,Electricity,Low
fire in dense residential area threatening multiple buildings,Fire,High
Reported: power supply irregular and unstable in area,Water,Medium
fire safety training needed for staff,Fire,Low
manhole cover missing creating dangerous pit,PWD,High
Reported: electric pole fallen and live wires on ground floor,Electricity,High
Reported: routine traffic sign maintenance required,Police/Traffic,Low
water pipe partially damaged causing wastage,Water,Medium
dangling wires on telephone poles creating hazard,Electricity,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
tree branches hanging dangerously near road,Municipality,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
"robbery incident on main street, criminal still at large",Police/Traffic,High
critical disease outbreak requiring emergency response,Health Department,High
traffic sign damaged requires replacement,Police/Traffic,Low
garbage piling requiring immediate cleanup action,Municipality,Medium
broken sidewalk creating walking hazard for citizens,PWD,Medium
gas cylinder blast in residential building,Fire,High
Reported: water tap handle broken needs fixing,Water,Low
"dengue outbreak suspected, vector surveillance immediately needed",Health Department,High
vector-borne disease indication requiring intervention and control,Health Department,Medium
water pipe leakage on street resulting in water waste,Water,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
garbage piling requiring immediate cleanup action,Municipality,Medium
paint fading on electrical pole,Electricity,Low
tree branches hanging dangerously near road,Municipality,Medium
electrical burning smell in residential complex,Fire,Medium
emergency sewage overflow creating hazardous condition,Water,High
vehicle collision on road needing intervention,Police/Traffic,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
pharmacy selling expired medicines illegally,Health Department,Medium
emergency electrical hazard causing immediate danger,Electricity,High
burning smell indicating possible fire risk in building,Fire,Medium
traffic noise pollution from horn usage,Police/Traffic,Medium
water leakage from main pipeline affecting entire neighborhood,Water,High
illegal billboard obstruction on public path,Municipality,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
asphalt patch needed on side street,PWD,Low
illegal construction on public land,Municipality,High
routine health facility maintenance required,Health Department,Low
mosquito breeding requiring immediate pest control action,Health Department,Medium
vehicles parked illegally blocking emergency access Please take action,Police/Traffic,Medium
short circuit in street light causing fire risk Please take action,Electricity,High
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
public toilet not functioning for community,Municipality,Medium
Reported: dusty light fixtures need cleaning,Electricity,Low
severe pothole hazard causing vehicle damage and accidents Please take action,PWD,High
dusty light fixtures need cleaning,Electricity,Low
fire hazard condition needing urgent attention and inspection,Fire,Medium
Reported: traffic accident with fatality near school,Police/Traffic,High
"assault case reported, victim in critical condition",Police/Traffic,High
"light pole slightly tilted, needs straightening",Electricity,Low
Reported: slight discoloration in drinking water,Water,Medium
Reported: short circuit in street light causing fire risk,Electricity,High
road surface uneven near school locality,PWD,Medium
water leakage from main pipeline affecting entire neighborhood Please take action,Water,High
minor pothole needs filling in residential street Please take action,PWD,Low
fire extinguisher not available in government building,Fire,Medium
Reported: chemical fire in warehouse area,Fire,High
Reported: street sign faded needs repainting,PWD,Low
clinic requires equipment calibration,Health Department,Low
sewage treatment plant overflow causing environmental damage,Municipality,High
routine park maintenance and beautification required Please take action,Municipality,Low
severe explosion hazard threatening surrounding buildings,Fire,High
illegal billboard obstruction on public path Please take action,Municipality,Medium
water tank maintenance not done for months,Water,Medium
live wire hanging near the main road causing electric shock hazard,Electricity,High
"vehicle theft reported, urgent investigation needed",Police/Traffic,High
Reported: pothole appearing on main street needs quick attention,PWD,Medium
power outage in hospital during emergency situation,Electricity,High
"road marking faded, lines need repainting",Police/Traffic,Low
emergency encroachment blocking essential services and access,Municipality,High
routine traffic sign maintenance required Please take action,Police/Traffic,Low
Reported: severe pothole hazard causing vehicle damage and accidents,PWD,High
sewage overflow in residential locality causing disease outbreak,Water,High
building on fire with people trapped inside,Fire,High
accident scene without proper barricading setup,Police/Traffic,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
electric pole fallen and live wires on ground floor,Electricity,High
park fence needs minor repair and maintenance,Municipality,Low
minor water pipe repair needed at street corner,Water,Low
severe food contamination causing widespread illness immediately,Health Department,High
manhole cover missing creating dangerous pit Please take action,PWD,High
encroachment blocking main road affecting public access,Municipality,High
park encroachment by unauthorized vendors,Municipality,Medium
dangerous high voltage transformer sparking dangerously,Electricity,High
fire safety signage requires replacement in mall,Fire,Low
health center requires routine inspection and maintenance,Health Department,Low
mosquito breeding requiring immediate pest control action,Health Department,Medium
vehicle collision on road needing intervention,Police/Traffic,Medium
fire extinguisher not available in government building,Fire,Medium
illegal construction on public land,Municipality,High
water tap handle broken needs fixing,Water,Low
potential fire risk due to electrical issue detected,Fire,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
asphalt patch needed on side street Please take action,PWD,Low
park bench needs repainting and repair,Municipality,Low
illegal construction on public land,Municipality,High
road needs repainting of lane markings,PWD,Low
open dumping of waste creating health hazard in residential area Please take action,Municipality,High
garbage accumulation causing disease outbreak,Municipality,High
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
park encroachment by unauthorized vendors,Municipality,Medium
electrical burning smell in residential complex,Fire,Medium
Reported: mosquito breeding requiring immediate pest control action,Health Department,Medium
tree branches hanging dangerously near road,Municipality,Medium
routine water maintenance scheduled,Water,Low
accident with multiple injuries and vehicles involved,Police/Traffic,High
stolen two wheeler reported in the locality,Police/Traffic,Medium
fire hazard condition needing urgent attention and inspection,Fire,Medium
"road marking faded, lines need repainting",Police/Traffic,Low
water supply stopped for more than 48 hours,Water,High
fire safety training needed for staff,Fire,Low
water tap handle broken needs fixing,Water,Low
"Reported: road marking faded, lines need repainting",Police/Traffic,Low
short circuit in street light causing fire risk Please take action,Electricity,High
food poisoning outbreak in locality causing hospitalizations,Health Department,High
molestation incident reported by female citizen,Police/Traffic,High
health checkup camp scheduling needed,Health Department,Low
power supply irregular and unstable in locality,Electricity,Medium
road needs repainting of lane markings Please take action,PWD,Low
pothole appearing on main street requires quick attention,PWD,Medium
parking space marking requires clarification,Police/Traffic,Low
electricity meter not recording consumption properly,Electricity,Medium
emergency health hazard affecting multiple people,Health Department,High
minor electrical maintenance required Please take action,Electricity,Low
smoke coming from basement of office building,Fire,Medium
street sign faded needs repainting Please take action,PWD,Low
Reported: stagnant water accumulating due to pipe blockage,Water,Medium
Reported: critical water scarcity affecting hospital and homes,Water,High
water tank needs paint refreshing,Water,Low
food stall operating without proper hygiene license Please take action,Health Department,Medium
"water supply irregular, only few hours daily",Water,Medium
routine road marking and sign maintenance,PWD,Low
park bench needs repainting and repair,Municipality,Low
routine road marking and sign maintenance,PWD,Low
severe pothole hazard causing vehicle damage and accidents,PWD,High
critical live wire exposure threatening public safety,Electricity,High
Reported: concrete pavement crumbling near market,PWD,Medium
"vehicle theft reported, urgent investigation needed",Police/Traffic,High
routine traffic sign maintenance required Please take action,Police/Traffic,Low
fire in dense residential area threatening multiple buildings,Fire,High
dusty light fixtures need cleaning,Electricity,Low
water supply stopped for more than 48 hours,Water,High
paint fading on electrical pole,Electricity,Low
water tank needs paint refreshing,Water,Low
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
vector-borne disease indication requiring intervention and control,Health Department,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
critical water scarcity affecting hospital and homes,Water,High
electric pole fallen and live wires on ground floor,Electricity,High
tree branches need pruning for maintenance,Municipality,Low
emergency sewage overflow creating hazardous condition,Water,High
power supply irregular & unstable in area,Electricity,Medium
routine park maintenance and beautification required,Municipality,Low
tree branches need pruning for maintenance,Municipality,Low
minor water pipe repair needed at street corner,Water,Low
"dead bird spreading disease, immediate disposal required",Health Department,High
mosquito breeding requiring immediate pest control action Please take action,Health Department,Medium
minor electrical maintenance required,Electricity,Low
critical water scarcity affecting hospital and homes,Water,High
Reported: sewage overflow in residential area causing disease outbreak,Water,High
Reported: routine health facility maintenance required,Health Department,Low
major pothole on main road causing accidents & vehicle damage,PWD,High
major water tank rupture flooding the area,Water,High
short circuit in street light causing fire risk,Electricity,High
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
encroachment blocking main road affecting public access,Municipality,High
Reported: fire safety training needed for staff,Fire,Low
Reported: water pressure very low in residential area,Water,Medium
park grass needs regular cutting and maintenance,Municipality,Low
food poisoning outbreak in locality causing hospitalizations Please take action,Health Department,High
slight discoloration in drinking water,Water,Medium
street divider damaged after vehicle collision,PWD,Medium
stagnant water accumulating due to pipe blockage,Water,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
chemical fire in warehouse area,Fire,High
emergency encroachment blocking essential services and access,Municipality,High
Reported: live wire hanging near the main road causing electric shock hazard,Electricity,High
street cleaning not done for weeks,Municipality,Medium
traffic signal light needs cleaning from dust,Police/Traffic,Low
Reported: minor pothole needs filling in residential street,PWD,Low
"helmet not used by riders, awareness campaign needed Please take action",Police/Traffic,Low
Reported: major water tank rupture flooding the area,Water,High
molestation incident reported by female citizen,Police/Traffic,High
severe garbage accumulation causing environmental and health emergency,Municipality,High
street divider damaged after vehicle collision Please take action,PWD,Medium
concrete pavement crumbling near market Please take action,PWD,Medium
critical waste management crisis threatening public health,Municipality,High
routine road marking and sign maintenance,PWD,Low
Reported: garbage accumulation causing disease outbreak,Municipality,High
critical water scarcity affecting hospital and homes,Water,High
water tap handle broken requires fixing,Water,Low
pharmacy selling expired medicines illegally,Health Department,Medium
road needs regular maintenance and sweeping,PWD,Low
stolen two wheeler reported in the area,Police/Traffic,Medium
open dumping of waste creating health hazard in residential area Please take action,Municipality,High
Reported: street divider damaged after vehicle collision,PWD,Medium
Reported: road needs repainting of lane markings,PWD,Low
"garbage not collected for several days, piling up",Municipality,Medium
routine fire safety equipment maintenance needed Please take action,Fire,Low
severe subsidence on road near government building,PWD,High
concrete pavement crumbling near market Please take action,PWD,Medium
emergency fire situation with potential casualties,Fire,High
traffic signal light requires cleaning from dust,Police/Traffic,Low
potential fire risk due to electrical issue detected,Fire,Medium
traffic signal light needs cleaning from dust,Police/Traffic,Low
sanitation training program for food vendors,Health Department,Low
minor pothole needs filling in residential street,PWD,Low
major water tank rupture flooding the area,Water,High
street sign faded needs repainting,PWD,Low
water tank maintenance not done for months,Water,Medium
fire exit door needs repair in office,Fire,Low
Reported: smoke coming from basement of office building,Fire,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
water tank maintenance not done for months,Water,Medium
fire exit door needs repair in office Please take action,Fire,Low
broken water tap wasting precious water resource Please take action,Water,Medium
Reported: stolen two wheeler reported in the area,Police/Traffic,Medium
minor water pipe repair needed at street corner,Water,Low
traffic violation with vehicles breaking red light,Police/Traffic,Medium
accident scene without proper barricading setup Please take action,Police/Traffic,Medium
road surface uneven near school area,PWD,Medium
contaminated water supply causing health issues,Water,High
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
fire exit door needs repair in office,Fire,Low
severe explosion hazard threatening surrounding buildings,Fire,High
fire equipment maintenance and inspection due,Fire,Low
Reported: fire extinguisher not available in government building,Fire,Medium
fire in dense residential area threatening multiple buildings,Fire,High
illegal billboard obstruction on public path,Municipality,Medium
Reported: park encroachment by unauthorized vendors,Municipality,Medium
Reported: accident with multiple injuries and vehicles involved,Police/Traffic,High
overflowing dustbin on street creating smell,Municipality,Medium
accident scene without proper barricading setup,Police/Traffic,Medium
contaminated water supply causing health issues,Water,High
chemical fire in warehouse area,Fire,High
water supply stopped for more than 48 hours,Water,High
water tap handle broken requires fixing,Water,Low
paint fading on electrical pole,Electricity,Low
Reported: damaged road surface needing urgent patching and repair,PWD,Medium
street cleaning not done for weeks Please take action,Municipality,Medium
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
encroachment blocking main road affecting public access,Municipality,High
water supply intermittent requiring urgent action,Water,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
emergency health hazard affecting multiple people,Health Department,High
routine water maintenance scheduled,Water,Low
illegal construction on public land,Municipality,High
Reported: sanitation training program for food vendors,Health Department,Low
Reported: health center needs routine inspection and maintenance,Health Department,Low
building on fire with people trapped inside,Fire,High
electric pole fallen and live wires on ground floor,Electricity,High
building on fire with people trapped inside,Fire,High
burning smell indicating possible fire risk in building,Fire,Medium
"vehicle thisft reported, urgent investigation needed",Police/Traffic,High
manhole cover missing creating dangerous pit,PWD,High
fire exit door needs repair in office,Fire,Low
dustbin needs replacement in area Please take action,Municipality,Low
emergency road collapse threatening public safety,PWD,High
waste accumulation needing urgent collection & disposal,Municipality,Medium
emergency sewage overflow creating hazardous condition,Water,High
open dumping of waste creating health hazard in residential area,Municipality,High
severe explosion hazard threatening surrounding buildings,Fire,High
live wire hanging near the main road causing electric shock hazard,Electricity,High
"light pole slightly tilted, needs straightening",Electricity,Low
"road marking faded, lines need repainting",Police/Traffic,Low
live wire hanging near the main road causing electric shock hazard,Electricity,High
parking space marking needs clarification,Police/Traffic,Low
waste accumulation needing urgent collection and disposal,Municipality,Medium
street light not working on main road for 3 weeks,Electricity,Medium
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
Reported: manhole cover missing creating dangerous pit,PWD,High
unhygienic food preparation in restaurant causing health risk,Health Department,High
Reported: rash driving near school affecting student safety,Police/Traffic,Medium
footpath uneven causing frequent falls and injuries,PWD,Medium
Reported: live wire hanging near the main road causing electric shock hazard,Electricity,High
health checkup camp scheduling needed,Health Department,Low
emergency road collapse threatening public safety,PWD,High
electrical burning smell in residential complex,Fire,Medium
road surface uneven near school locality,PWD,Medium
dusty light fixtures need cleaning,Electricity,Low
mosquito breeding requiring immediate pest control action,Health Department,Medium
Reported: voltage fluctuations damaging household appliances,Electricity,Medium
electricity meter not recording consumption properly Please take action,Electricity,Medium
major water tank rupture flooding the area,Water,High
routine light repair & maintenance needed,Electricity,Low
smoke coming from basement of office building,Fire,Medium
critical waste management crisis threatening public health,Municipality,High
concrete pavement crumbling near market,PWD,Medium
street light needs new bulb replacement Please take action,Electricity,Low
dangerous accident with severe injuries and casualties,Police/Traffic,High
critical waste management crisis threatening public health,Municipality,High
health center requires routine inspection and maintenance,Health Department,Low
water leakage from main pipeline affecting entire neighborhood,Water,High
"water supply irregular, only few hours daily",Water,Medium
electrical wire partially damaged needs immediate repair,Electricity,Medium
critical live wire exposure threatening public safety,Electricity,High
severe garbage accumulation causing environmental & health emergency,Municipality,High
sewage treatment plant overflow causing environmental damage,Municipality,High
severe explosion hazard threatening surrounding buildings Please take action,Fire,High
road completely damaged affecting vehicle movement,PWD,High
Reported: emergency fire situation with potential casualties,Fire,High
routine health facility maintenance required,Health Department,Low
road needs regular maintenance and sweeping,PWD,Low
road needs repainting of lane markings,PWD,Low
park grass needs regular cutting and maintenance,Municipality,Low
gas cylinder blast in residential building Please take action,Fire,High
water supply stopped for more than 48 hours,Water,High
major pothole on main road causing accidents and vehicle damage,PWD,High
frequent power tripping affecting daily operations,Electricity,Medium
fire in dense residential area threatening multiple buildings,Fire,High
Reported: broken electric meter near market area,Electricity,Medium
street sign faded needs repainting Please take action,PWD,Low
power outage in hospital during emergency situation,Electricity,High
Reported: electrical wire partially damaged needs immediate repair,Electricity,Medium
Reported: severe food contamination causing widespread illness urgently,Health Department,High
power outage in hospital during emergency situation,Electricity,High
electric pole fallen & live wires on ground floor,Electricity,High
smoke coming from basement of office building,Fire,Medium
fire safety signage requires replacement in mall,Fire,Low
severe food contamination causing widespread illness urgently,Health Department,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
sewage treatment plant overflow causing environmental damage,Municipality,High
Reported: road needs repainting of lane markings,PWD,Low
footpath uneven causing frequent falls and injuries,PWD,Medium
water meter needs servicing & calibration,Water,Low
street divider damaged after vehicle collision,PWD,Medium
emergency light needs battery replacement,Fire,Low
power outage in hospital during emergency situation Please take action,Electricity,High
traffic sign damaged requires replacement,Police/Traffic,Low
street sign faded needs repainting,PWD,Low
stagnant water accumulating due to pipe blockage,Water,Medium
public locality beautification needed,Municipality,Low
building on fire with people trapped inside,Fire,High
traffic signal light needs cleaning from dust Please take action,Police/Traffic,Low
routine water maintenance scheduled,Water,Low
routine light repair and maintenance needed Please take action,Electricity,Low
multiple potholes on street requiring immediate repair,PWD,Medium
water pipe leakage on street resulting in water waste,Water,Medium
fire extinguisher not available in government building,Fire,Medium
critical live wire exposure threatening public safety,Electricity,High
sewage treatment plant overflow causing environmental damage,Municipality,High
fire safety audit failing in commercial area,Fire,Medium
street light requires new bulb replacement,Electricity,Low
"dengue outbreak suspected, vector surveillance urgently needed Please take action",Health Department,High
Reported: malaria cases reported in residential area,Health Department,Medium
fire in dense residential area threatening multiple buildings,Fire,High
critical fire emergency requiring immediate response Please take action,Fire,High
critical road damage causing traffic accident risk Please take action,PWD,High
unhygienic food preparation in restaurant causing health risk,Health Department,High
emergency light needs battery replacement Please take action,Fire,Low
minor pothole requires filling in residential street,PWD,Low
encroachment blocking main road affecting public access,Municipality,High
health checkup camp scheduling needed Please take action,Health Department,Low
vehicles parked illegally blocking emergency access Please take action,Police/Traffic,Medium
broken water tap wasting precious water resource,Water,Medium
public area beautification needed,Municipality,Low
Reported: overflowing dustbin on street creating smell,Municipality,Medium
"Reported: water supply irregular, only few hours daily",Water,Medium
Reported: emergency road collapse threatening public safety,PWD,High
Reported: water tank needs paint refreshing,Water,Low
road surface uneven near school area,PWD,Medium
severe subsidence on road near government building,PWD,High
water tap handle broken needs fixing,Water,Low
dusty light fixtures need cleaning,Electricity,Low
Reported: potential fire risk due to electrical issue detected,Fire,Medium
Reported: water tank maintenance not done for months,Water,Medium
road requires repainting of lane markings,PWD,Low
damaged road surface needing urgent patching and repair,PWD,Medium
emergency light needs battery replacement,Fire,Low
minor electrical maintenance required,Electricity,Low
vehicle collision on road needing intervention,Police/Traffic,Medium
parking space marking needs clarification,Police/Traffic,Low
water leakage from main pipeline affecting entire neighborhood,Water,High
street light needs new bulb replacement,Electricity,Low
emergency electrical hazard causing immediate danger,Electricity,High
water tank needs paint refreshing Please take action,Water,Low
traffic signal light requires cleaning from dust,Police/Traffic,Low
open dumping of waste creating health hazard in residential area Please take action,Municipality,High
"dead bird spreading disease, immediate disposal required",Health Department,High
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
health checkup camp scheduling needed,Health Department,Low
road surface deteriorated with multiple cracks,PWD,Medium
water leakage from main pipeline affecting entire neighborhood,Water,High
power outage in hospital during emergency situation,Electricity,High
water pressure very low in residential area,Water,Medium
severe food contamination causing widespread illness urgently,Health Department,High
sparking from transformer in residential area near children,Electricity,High
accident with multiple injuries and vehicles involved,Police/Traffic,High
electric pole fallen and live wires on ground floor,Electricity,High
fire extinguisher not available in government building Please take action,Fire,Medium
explosion near petrol pump causing severe damage Please take action,Fire,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
burning smell indicating possible fire risk in building,Fire,Medium
public toilet not functioning for community,Municipality,Medium
street sign installation for park entrance,Municipality,Low
park fence needs minor repair and maintenance,Municipality,Low
routine health facility maintenance required,Health Department,Low
Reported: water leakage from main pipeline affecting entire neighborhood,Water,High
concrete pavement crumbling near market,PWD,Medium
explosion near petrol pump causing severe damage Please take action,Fire,High
fire alarm system not working in hospital Please take action,Fire,Medium
electrical burning smell in residential complex,Fire,Medium
routine fire safety equipment maintenance needed,Fire,Low
parking space marking requires clarification,Police/Traffic,Low
fire alarm system not working in hospital,Fire,Medium
reckless drunk driver causing accidents on highway,Police/Traffic,High
Reported: electrical burning smell in residential complex,Fire,Medium
"garbage not collected for several days, piling up",Municipality,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
water leakage from main pipeline affecting entire neighborhood,Water,High
road completely damaged affecting vehicle movement,PWD,High
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
critical road damage causing traffic accident risk,PWD,High
Reported: electric pole fallen and live wires on ground floor,Electricity,High
chemical fire in warehouse area,Fire,High
park fence requires minor repair and maintenance,Municipality,Low
chemical fire in warehouse area,Fire,High
water tank needs paint refreshing,Water,Low
health checkup camp scheduling needed Please take action,Health Department,Low
"dengue outbreak suspected, vector surveillance immediately needed",Health Department,High
electrical wire partially damaged needs immediate repair,Electricity,Medium
"vehicle theft reported, urgent investigation needed Please take action",Police/Traffic,High
fire safety training needed for staff,Fire,Low
critical live wire exposure threatening public safety,Electricity,High
fire safety training needed for staff,Fire,Low
fire safety signage needs replacement in mall,Fire,Low
routine park maintenance and beautification required,Municipality,Low
Reported: dangerous high voltage transformer sparking dangerously,Electricity,High
severe food contamination causing widespread illness urgently,Health Department,High
routine road marking and sign maintenance,PWD,Low
water leakage from main pipeline affecting entire neighborhood,Water,High
pothole appearing on main street requires quick attention,PWD,Medium
electric pole fallen and live wires on ground floor,Electricity,High
building on fire with people trapped inside,Fire,High
traffic noise pollution from horn usage,Police/Traffic,Medium
sewage treatment plant overflow causing environmental damage,Municipality,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
Reported: tree branches hanging dangerously near road,Municipality,Medium
"garbage not collected for several days, piling up",Municipality,Medium
power supply irregular and unstable in area,Water,Medium
footpath uneven causing frequent falls and injuries,PWD,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
severe food contamination causing widespread illness urgently,Health Department,High
Reported: road needs regular maintenance and sweeping,PWD,Low
minor electrical maintenance required Please take action,Electricity,Low
park grass needs regular cutting and maintenance,Municipality,Low
fire safety training needed for staff,Fire,Low
health checkup camp scheduling needed Please take action,Health Department,Low
severe garbage accumulation causing environmental and health emergency,Municipality,High
park fence requires minor repair and maintenance,Municipality,Low
garbage piling requiring immediate cleanup action,Municipality,Medium
asphalt patch needed on side street,PWD,Low
water supply stopped for more than 48 hours,Water,High
severe pothole hazard causing vehicle damage and accidents Please take action,PWD,High
garbage piling requiring immediate cleanup action,Municipality,Medium
clinic needs equipment calibration,Health Department,Low
minor pothole needs filling in residential street Please take action,PWD,Low
road needs repainting of lane markings,PWD,Low
traffic signal malfunctioning at busy intersection causing congestion Please take action,Police/Traffic,Medium
malaria cases reported in residential locality,Health Department,Medium
parking space marking requires clarification,Police/Traffic,Low
street cleaning not done for weeks,Municipality,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
road surface uneven near school area Please take action,PWD,Medium
sewage treatment plant overflow causing environmental damage,Municipality,High
sanitation training program for food vendors,Health Department,Low
live wire hanging near the main road causing electric shock hazard,Electricity,High
burning smell indicating possible fire risk in building Please take action,Fire,Medium
chemical fire in warehouse area,Fire,High
water tap handle broken requires fixing,Water,Low
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
sidewalk broken making it difficult for elderly & disabled,PWD,Medium
minor water pipe repair needed at street corner Please take action,Water,Low
garbage accumulation causing disease outbreak Please take action,Municipality,High
Reported: emergency encroachment blocking essential services and access,Municipality,High
dangerous high voltage transformer sparking dangerously,Electricity,High
garbage accumulation causing disease outbreak,Municipality,High
water tap handle broken needs fixing,Water,Low
Reported: burning smell indicating possible fire risk in building,Fire,Medium
"road marking faded, lines need repainting",Police/Traffic,Low
Reported: severe subsidence on road near government building,PWD,High
overflowing dustbin on street creating smell,Municipality,Medium
severe food contamination causing widespread illness urgently Please take action,Health Department,High
garbage accumulation causing disease outbreak,Municipality,High
contaminated water supply causing health issues,Water,High
voltage fluctuations damaging household appliances,Electricity,Medium
sewage overflow in residential area causing disease outbreak,Water,High
critical water scarcity affecting hospital and homes Please take action,Water,High
severe pothole hazard causing vehicle damage and accidents,PWD,High
stagnant water accumulating due to pipe blockage,Water,Medium
water supply intermittent requiring urgent action,Water,Medium
broken electric meter near market area,Electricity,Medium
burning smell indicating possible fire risk in building,Fire,Medium
fire safety audit failing in commercial area Please take action,Fire,Medium
park fence needs minor repair and maintenance,Municipality,Low
Reported: fire safety audit failing in commercial area,Fire,Medium
encroachment blocking main road affecting public access,Municipality,High
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
electricity meter not recording consumption properly,Electricity,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
